Longitude,Latitude,Cluster
36.861544,-5.177747,-1
51.463766,5.392935,-1
51.190492,4.453765,-1
51.326247,6.085953,-1
54.529777,9.029133,-1
48.861686,2.293117,0
52.213888,10.523333,-1
36.821091,-2.443153,-1
38.964631,-2.884812,-1
54.040938,14.010755,-1
48.836108,2.381694,0
41.191395,-1.784323,-1
49.997903,8.267671,-1
49.995724,8.268733,-1
36.71761,-4.417716,-1
37.384867,-5.99195,1
45.073179,7.685483,2
45.072975,7.685558,2
49.098652,14.57669,-1
45.431587,12.328484,3
50.449654,30.524268,4
51.437257,6.805558,46
53.228636,-0.541078,5
53.22863,-0.541681,5
48.161172,16.383388,6
48.161208,16.383388,6
48.168286,16.380847,6
48.165802,16.381891,6
48.165519,16.381988,6
53.227633,-0.543578,5
53.227636,-0.543578,5
53.227638,-0.543573,5
53.227644,-0.543581,5
53.227641,-0.5436,5
53.227669,-0.543573,5
53.227694,-0.543489,5
53.227666,-0.543581,5
53.227666,-0.543578,5
53.227677,-0.543603,5
53.228405,-0.5466,5
53.229244,-0.546075,5
53.228338,-0.54305,5
53.2284,-0.543064,5
53.228163,-0.54322,5
53.227677,-0.543598,5
54.536085,-1.052917,-1
41.691994,15.632997,-1
41.596522,15.813794,7
41.596511,15.813761,7
48.86825,2.779219,8
48.868222,2.779294,8
47.383363,10.892569,9
48.867887,2.33807,0
48.204746,16.368156,6
53.465833,-2.339445,10
53.465833,-2.339167,10
53.229461,-0.540345,5
53.23093,-0.539803,5
53.233536,-0.538806,5
53.233533,-0.538806,5
53.23255,-0.538489,5
51.507497,0.049062,11
52.109747,-10.466312,-1
48.57458,13.464699,12
48.574786,13.465107,12
48.574829,13.465719,12
48.574197,13.467071,12
48.574403,13.468176,12
48.574119,13.468616,12
48.573956,13.469195,12
43.769271,11.255845,13
43.768427,11.253742,13
45.764027,4.832466,14
52.923593,-1.483358,-1
43.677968,4.63093,-1
43.270094,-2.940184,15
41.814397,-4.085448,-1
50.039577,8.596791,16
48.711003,9.415594,17
38.692046,-9.215447,18
42.942352,0.28458,-1
48.644633,-2.025545,-1
53.234425,-0.535948,5
53.234094,-0.536128,5
53.234108,-0.536109,5
53.234425,-0.537848,5
53.2344,-0.537881,5
51.370033,-0.402506,11
51.370166,-0.402731,11
53.235244,-0.540092,5
53.235091,-0.539906,5
53.235088,-0.539906,5
53.235322,-0.540887,5
53.234755,-0.539814,5
51.370238,-0.402801,11
53.235325,-0.540648,5
53.013461,-3.277112,19
53.01348,-3.277078,19
53.234591,-0.54067,5
53.234616,-0.540684,5
53.234222,-0.540123,5
53.234355,-0.540228,5
53.234355,-0.541878,5
53.234494,-0.542192,5
53.234258,-0.540056,5
53.234091,-0.540384,5
53.23418,-0.541112,5
53.234255,-0.541378,5
53.234352,-0.541412,5
53.234486,-0.542187,5
53.234563,-0.542323,5
53.234352,-0.540214,5
53.234202,-0.540189,5
53.234133,-0.540425,5
53.234172,-0.541114,5
53.234247,-0.541387,5
37.92162,-2.993366,20
37.92129,-2.993034,20
37.921569,-2.993001,20
37.920411,-2.994164,20
37.921097,-2.992809,20
53.235583,-0.542231,5
53.235822,-0.541812,5
53.23563,-0.540806,5
53.235372,-0.539903,5
53.235247,-0.539717,5
53.235186,-0.539723,5
53.234858,-0.539712,5
53.234458,-0.539842,5
53.235841,-0.542067,5
53.23585,-0.542112,5
53.234622,-0.539678,5
53.235105,-0.539648,5
53.234863,-0.539714,5
53.235844,-0.5421,5
53.235736,-0.541364,5
53.234863,-0.53695,5
53.235038,-0.537037,5
53.234072,-0.536812,5
53.234325,-0.537809,5
53.234308,-0.537828,5
53.234205,-0.538003,5
53.2342,-0.537995,5
53.235691,-0.538575,5
43.775381,11.253549,13
53.339592,-6.271584,21
36.048345,14.189722,22
37.797729,-0.806754,-1
50.5238,6.093516,23
41.912375,12.487366,24
53.345658,-6.27094,21
55.236922,-6.513917,-1
52.681572,0.855753,25
38.69875,-9.418553,18
38.697427,-9.418506,18
45.322394,0.586009,-1
35.89267,14.517789,22
42.582222,1.5175,26
52.387155,4.541355,27
48.602126,-2.818252,-1
46.547291,4.795017,-1
49.46185,6.014633,-1
38.192424,15.554748,-1
39.725283,-0.187781,28
37.884252,-4.779709,29
50.087326,14.420864,30
45.465452,9.186801,31
45.993019,0.320544,32
51.787953,-2.845705,-1
51.801197,-2.848527,-1
45.982497,0.306972,32
45.982177,0.30423,32
45.982513,0.305741,32
45.982891,0.306588,32
36.552784,29.420818,-1
45.981613,0.303258,32
38.016744,12.502175,-1
51.917869,4.52524,27
48.854538,2.370555,0
53.528047,10.339897,-1
46.872837,6.37398,-1
41.902318,12.495635,24
41.902325,12.49602,24
41.902308,12.496266,24
36.664597,29.106967,-1
53.956817,-1.093375,33
53.96188,-1.091412,33
53.962397,-1.091369,33
53.963578,-1.086133,33
53.963742,-1.084814,33
44.489686,11.343686,34
48.893953,2.380599,0
57.70081,-3.494575,-1
51.571419,0.208641,11
43.731266,7.416179,35
43.736685,7.418582,35
43.735096,7.417734,35
43.734995,7.425255,35
43.737228,7.426264,35
39.53357,3.330606,-1
51.191958,0.261441,11
50.116335,8.699476,16
51.53335,0.714655,36
51.533233,0.7128,36
51.533755,0.714511,36
50.958336,6.972586,37
45.201908,1.544577,-1
52.455988,-1.979862,38
52.456019,-1.979798,38
50.17498,8.927902,16
51.453333,-2.597223,39
51.479097,-0.293626,11
47.083127,2.3965,-1
47.107861,13.130575,-1
47.485272,19.052577,40
51.910777,4.483022,27
51.343249,-2.981092,-1
40.330926,-7.210861,-1
37.946388,23.615555,41
56.124606,10.117506,42
52.645573,5.054837,43
53.47792,-2.243528,10
52.453472,-1.717021,38
41.191441,0.739919,44
41.190855,0.735308,44
41.188294,0.747405,44
41.186613,0.750469,44
45.467866,9.205791,31
54.148637,-4.473302,169
40.554305,16.665261,45
48.498066,13.126323,-1
51.220801,6.77836,46
51.465391,-0.170985,11
42.641512,18.108698,47
42.641385,18.109309,47
42.639862,18.10991,47
42.641141,18.110715,47
36.756311,28.265022,48
36.755925,28.2663,48
36.755922,28.265905,48
36.756402,28.266391,48
45.897922,6.121016,-1
36.980495,-3.1265,49
50.523547,3.884738,184
45.433272,12.339019,3
49.38159,10.170453,50
50.852436,-0.983995,51
50.852514,-0.983759,51
54.904679,-1.381198,52
52.455362,5.524749,-1
50.801597,-1.109437,51
36.768158,27.801116,53
54.905019,-1.38138,52
37.376109,-5.987098,1
42.233145,3.121855,54
53.991934,-1.532893,-1
41.145191,0.819083,44
49.732504,8.627679,55
41.362058,2.104611,56
51.162201,-0.579687,11
45.451453,9.173058,31
45.452078,9.177961,31
55.850366,-4.444606,57
55.850244,-4.445103,57
55.850463,-4.444567,57
45.995008,4.078963,-1
54.349724,18.653165,-1
46.896977,10.081686,-1
46.871311,10.425875,-1
48.580605,5.95703,58
46.967952,10.847105,-1
48.207944,16.371989,6
48.209474,16.369886,6
48.207672,16.37171,6
48.636387,16.151136,-1
51.024552,13.840713,59
51.813369,4.657836,27
50.801666,-1.109542,51
39.326686,21.707627,60
52.066287,-1.022983,-1
39.335561,21.69153,60
39.364405,22.93743,61
51.885597,0.901308,-1
39.364041,22.936947,61
41.410525,2.228772,56
48.834597,9.152222,17
48.837258,9.154513,17
48.834594,9.152225,17
53.465833,-2.338889,10
45.397463,11.876822,62
45.397333,11.87683,62
45.39735,11.876816,62
52.070795,-1.009454,-1
46.595928,11.742871,63
39.278952,21.68253,60
39.279297,21.683536,60
53.95205,10.865619,-1
53.957475,10.882536,-1
37.920786,-2.991889,20
51.112116,17.029938,64
51.109627,17.031308,64
48.888383,2.335533,0
57.324333,-4.4423,65
51.815797,5.843427,-1
52.348352,-1.591631,38
45.464239,9.190449,31
51.057121,3.720638,66
50.434178,18.955267,67
40.352079,18.168598,-1
55.557147,8.085038,68
42.052655,2.504686,69
50.433276,18.953862,67
39.530808,-0.384198,70
54.435881,-3.083319,-1
51.507869,-0.127045,11
51.537356,-0.145933,11
52.64528,5.056307,43
52.645605,5.054268,43
48.565981,2.714138,71
51.524842,-0.116031,11
59.325048,18.070711,72
38.713492,-9.130405,18
54.59156,13.14085,-1
55.911152,-4.452295,57
36.418055,25.427777,-1
38.219641,22.122413,-1
55.361666,-3.461389,-1
51.282932,5.75325,-1
37.328591,-5.842873,1
37.328313,-5.843684,1
37.328775,-5.842895,1
51.233119,7.066252,-1
37.417966,-5.871187,1
37.934222,-6.58082,73
37.936397,-6.580612,73
37.936261,-6.580756,73
37.936283,-6.580564,73
